id,title,description,category,brand,color,size,material,price,rating
23,Running Shoes Model 23,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Sony,Blue,11,Leather,3431,4.8
24,Running Shoes Model 24,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Samsung,White,7,Plastic,7675,4.7
25,Running Shoes Model 25,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Boat,Black,7,Plastic,2848,4.4
26,Laptop Model 26,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Nike,Red,15.6 inch,Synthetic,61397,4.0
27,Laptop Model 27,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Adidas,White,15.6 inch,Synthetic,112065,4.5
28,Laptop Model 28,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Apple,Green,14 inch,Aluminum,103512,4.1
29,Running Shoes Model 29,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Boat,Black,11,Glass,5496,4.2
30,Running Shoes Model 30,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,ASUS,Gray,7,Leather,7109,4.1
31,Running Shoes Model 31,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Puma,Black,7,Plastic,7731,4.5
32,Laptop Model 32,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,ASUS,Gray,14 inch,Plastic,81284,3.6
33,Laptop Model 33,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Puma,Black,15.6 inch,Plastic,47957,3.5
34,Running Shoes Model 34,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Adidas,Green,8,Glass,6902,4.6
35,Laptop Model 35,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,HP,Black,14 inch,Leather,77977,3.7
36,Wireless Headphones Model 36,Noise cancelling wireless headphones with long battery life.,Accessories,Dell,Gray,Standard,Synthetic,13390,3.6
37,Laptop Model 37,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Puma,Red,13 inch,Leather,115441,4.8
38,Wireless Headphones Model 38,Noise cancelling wireless headphones with long battery life.,Accessories,Puma,Black,Standard,Glass,6075,3.9
39,Wireless Headphones Model 39,Noise cancelling wireless headphones with long battery life.,Accessories,Boat,Red,Standard,Glass,9509,4.6
40,Running Shoes Model 40,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Adidas,Red,6,Aluminum,3233,4.0
41,Laptop Model 41,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Dell,Gray,13 inch,Glass,83484,4.7
42,Laptop Model 42,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Sony,White,14 inch,Synthetic,37170,4.5
43,Running Shoes Model 43,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Dell,Gray,8,Glass,4390,4.1
44,Laptop Model 44,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Puma,Black,13 inch,Aluminum,71802,3.8
45,Running Shoes Model 45,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Boat,Black,6,Mesh,7603,3.9
46,Wireless Headphones Model 46,Noise cancelling wireless headphones with long battery life.,Accessories,Boat,Black,Standard,Glass,9626,4.5
47,Running Shoes Model 47,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Dell,White,11,Synthetic,7869,4.1
48,Laptop Model 48,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,ASUS,Blue,14 inch,Aluminum,67639,4.4
49,Running Shoes Model 49,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Boat,Red,10,Aluminum,6995,3.9
50,Wireless Headphones Model 50,Noise cancelling wireless headphones with long battery life.,Accessories,ASUS,Gray,Standard,Aluminum,10346,5.0
51,Wireless Headphones Model 51,Noise cancelling wireless headphones with long battery life.,Accessories,Boat,White,Standard,Aluminum,5787,4.4
52,Running Shoes Model 52,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Boat,Black,8,Aluminum,3163,4.5
53,Laptop Model 53,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,HP,White,13 inch,Glass,86830,3.6
54,Laptop Model 54,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Dell,Gray,13 inch,Plastic,83652,3.6
55,Wireless Headphones Model 55,Noise cancelling wireless headphones with long battery life.,Accessories,Apple,Blue,Standard,Synthetic,10478,3.5
56,Laptop Model 56,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Puma,Red,15.6 inch,Plastic,49516,4.7
57,Laptop Model 57,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Adidas,Black,13 inch,Leather,65664,4.7
58,Laptop Model 58,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Dell,White,15.6 inch,Glass,86099,3.9
59,Laptop Model 59,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,ASUS,Green,15.6 inch,Leather,34877,4.2
60,Laptop Model 60,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Nike,Red,14 inch,Plastic,76371,3.6
61,Wireless Headphones Model 61,Noise cancelling wireless headphones with long battery life.,Accessories,Puma,White,Standard,Synthetic,13614,4.3
62,Running Shoes Model 62,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Adidas,White,8,Aluminum,5213,4.4
63,Laptop Model 63,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Puma,Black,15.6 inch,Glass,43673,4.8
64,Laptop Model 64,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Samsung,White,13 inch,Glass,107787,4.0
65,Laptop Model 65,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Puma,Blue,14 inch,Synthetic,87524,4.7
66,Running Shoes Model 66,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Apple,Red,7,Leather,7326,4.7
67,Laptop Model 67,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Apple,Green,14 inch,Glass,47744,3.7
68,Laptop Model 68,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Apple,Red,14 inch,Synthetic,43550,4.1
69,Wireless Headphones Model 69,Noise cancelling wireless headphones with long battery life.,Accessories,Apple,Black,Standard,Aluminum,3876,4.1
70,Wireless Headphones Model 70,Noise cancelling wireless headphones with long battery life.,Accessories,Samsung,Red,Standard,Plastic,14953,4.7
71,Wireless Headphones Model 71,Noise cancelling wireless headphones with long battery life.,Accessories,Dell,Black,Standard,Plastic,9452,4.8
72,Laptop Model 72,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Nike,Black,13 inch,Plastic,119914,3.8
73,Wireless Headphones Model 73,Noise cancelling wireless headphones with long battery life.,Accessories,Boat,Blue,Standard,Glass,10035,3.7
74,Laptop Model 74,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Samsung,Gray,14 inch,Plastic,99074,3.6
75,Wireless Headphones Model 75,Noise cancelling wireless headphones with long battery life.,Accessories,ASUS,Blue,Standard,Glass,10792,5.0
76,Running Shoes Model 76,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Apple,Black,7,Mesh,3791,4.0
77,Running Shoes Model 77,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Samsung,Green,9,Mesh,5519,4.0
78,Wireless Headphones Model 78,Noise cancelling wireless headphones with long battery life.,Accessories,HP,Black,Standard,Mesh,11598,4.7
79,Running Shoes Model 79,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,ASUS,White,10,Aluminum,7552,4.2
80,Laptop Model 80,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Samsung,Gray,13 inch,Mesh,119942,3.7
81,Wireless Headphones Model 81,Noise cancelling wireless headphones with long battery life.,Accessories,Sony,Blue,Standard,Synthetic,11213,4.8
82,Running Shoes Model 82,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Apple,Red,11,Mesh,5724,4.8
83,Laptop Model 83,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Nike,Black,14 inch,Synthetic,101609,4.3
84,Laptop Model 84,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Sony,White,13 inch,Leather,57003,4.3
85,Running Shoes Model 85,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Apple,Red,9,Glass,7939,4.1
86,Running Shoes Model 86,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Dell,Blue,11,Plastic,4615,3.5
87,Running Shoes Model 87,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Puma,Black,7,Mesh,7855,4.7
88,Laptop Model 88,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,ASUS,Red,15.6 inch,Mesh,65254,4.2
89,Running Shoes Model 89,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Sony,Black,10,Leather,6357,4.8
90,Laptop Model 90,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Dell,Blue,13 inch,Aluminum,53655,3.6
91,Laptop Model 91,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Adidas,Black,13 inch,Plastic,113509,4.3
92,Running Shoes Model 92,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,ASUS,Blue,7,Synthetic,5527,4.3
93,Running Shoes Model 93,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Adidas,Blue,9,Aluminum,7090,3.7
94,Laptop Model 94,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,HP,Red,13 inch,Mesh,63205,4.5
95,Wireless Headphones Model 95,Noise cancelling wireless headphones with long battery life.,Accessories,Dell,Gray,Standard,Aluminum,7485,3.7
96,Laptop Model 96,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Sony,Gray,15.6 inch,Leather,56196,4.1
97,Running Shoes Model 97,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Sony,Green,8,Glass,2788,4.0
98,Running Shoes Model 98,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,ASUS,Gray,6,Leather,6907,3.8
99,Running Shoes Model 99,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Sony,Black,6,Leather,4334,4.9
100,Running Shoes Model 100,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Adidas,Red,10,Synthetic,3264,3.6
101,Laptop Model 101,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Sony,Blue,15.6 inch,Mesh,76382,4.7
102,Laptop Model 102,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Sony,Green,14 inch,Plastic,55350,4.1
103,Wireless Headphones Model 103,Noise cancelling wireless headphones with long battery life.,Accessories,Adidas,Green,Standard,Aluminum,3812,4.0
104,Wireless Headphones Model 104,Noise cancelling wireless headphones with long battery life.,Accessories,Samsung,Black,Standard,Leather,9669,4.0
105,Laptop Model 105,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Apple,Green,15.6 inch,Mesh,62053,4.3
106,Wireless Headphones Model 106,Noise cancelling wireless headphones with long battery life.,Accessories,Nike,White,Standard,Plastic,6989,5.0
107,Laptop Model 107,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Dell,White,14 inch,Mesh,67746,4.8
108,Running Shoes Model 108,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,ASUS,Green,7,Leather,3915,4.1
109,Laptop Model 109,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Boat,Gray,14 inch,Glass,38394,4.2
110,Laptop Model 110,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,HP,Red,13 inch,Leather,103300,3.6
111,Running Shoes Model 111,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Sony,Green,10,Plastic,3548,4.0
112,Running Shoes Model 112,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Puma,Black,8,Glass,7257,3.9
113,Running Shoes Model 113,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Dell,Red,10,Mesh,6107,3.8
114,Laptop Model 114,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Apple,Red,13 inch,Glass,33060,4.2
115,Wireless Headphones Model 115,Noise cancelling wireless headphones with long battery life.,Accessories,Nike,White,Standard,Mesh,3343,4.7
116,Laptop Model 116,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Puma,Black,14 inch,Leather,50994,4.9
117,Wireless Headphones Model 117,Noise cancelling wireless headphones with long battery life.,Accessories,Nike,Gray,Standard,Synthetic,14293,4.6
118,Wireless Headphones Model 118,Noise cancelling wireless headphones with long battery life.,Accessories,HP,Green,Standard,Synthetic,5866,4.8
119,Wireless Headphones Model 119,Noise cancelling wireless headphones with long battery life.,Accessories,Dell,White,Standard,Plastic,12005,4.5
120,Laptop Model 120,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Dell,Black,14 inch,Plastic,54574,4.0
121,Wireless Headphones Model 121,Noise cancelling wireless headphones with long battery life.,Accessories,Dell,Black,Standard,Aluminum,10962,4.4
122,Wireless Headphones Model 122,Noise cancelling wireless headphones with long battery life.,Accessories,Nike,Blue,Standard,Synthetic,8291,4.5
123,Wireless Headphones Model 123,Noise cancelling wireless headphones with long battery life.,Accessories,Adidas,Green,Standard,Aluminum,5218,4.1
124,Running Shoes Model 124,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Boat,Green,11,Aluminum,4660,4.2
125,Wireless Headphones Model 125,Noise cancelling wireless headphones with long battery life.,Accessories,Puma,Gray,Standard,Plastic,12765,4.3
126,Running Shoes Model 126,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,ASUS,Green,9,Leather,6286,3.9
127,Running Shoes Model 127,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Adidas,Blue,9,Plastic,3727,4.7
128,Laptop Model 128,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Apple,Blue,14 inch,Mesh,79478,4.5
129,Laptop Model 129,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Adidas,Green,15.6 inch,Aluminum,74810,4.7
130,Wireless Headphones Model 130,Noise cancelling wireless headphones with long battery life.,Accessories,Boat,Red,Standard,Aluminum,12733,4.8
131,Laptop Model 131,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,ASUS,Black,14 inch,Leather,35659,4.0
132,Running Shoes Model 132,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Puma,Green,9,Plastic,4630,4.0
133,Laptop Model 133,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Apple,Black,15.6 inch,Leather,110964,3.9
134,Laptop Model 134,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Adidas,Blue,13 inch,Plastic,109285,3.8
135,Running Shoes Model 135,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Boat,Red,9,Synthetic,2523,4.2
136,Running Shoes Model 136,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Adidas,Black,10,Mesh,6497,4.5
137,Laptop Model 137,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Samsung,Red,13 inch,Plastic,32362,3.8
138,Laptop Model 138,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Apple,Gray,13 inch,Glass,85696,3.7
139,Laptop Model 139,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Samsung,White,13 inch,Leather,90092,4.4
140,Wireless Headphones Model 140,Noise cancelling wireless headphones with long battery life.,Accessories,ASUS,Green,Standard,Synthetic,12194,4.6
141,Laptop Model 141,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Nike,Red,14 inch,Leather,46369,3.8
142,Wireless Headphones Model 142,Noise cancelling wireless headphones with long battery life.,Accessories,Nike,Green,Standard,Plastic,5158,3.9
143,Laptop Model 143,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Adidas,Blue,13 inch,Synthetic,66335,3.9
144,Laptop Model 144,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Apple,Black,14 inch,Leather,91862,4.2
145,Wireless Headphones Model 145,Noise cancelling wireless headphones with long battery life.,Accessories,ASUS,Blue,Standard,Leather,6127,3.9
146,Wireless Headphones Model 146,Noise cancelling wireless headphones with long battery life.,Accessories,HP,White,Standard,Mesh,5219,3.7
147,Laptop Model 147,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Dell,Blue,13 inch,Aluminum,90765,3.8
148,Running Shoes Model 148,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,ASUS,Green,6,Plastic,3346,4.6
149,Wireless Headphones Model 149,Noise cancelling wireless headphones with long battery life.,Accessories,Puma,Black,Standard,Synthetic,4560,4.5
150,Running Shoes Model 150,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Adidas,Green,9,Plastic,4206,4.0
151,Wireless Headphones Model 151,Noise cancelling wireless headphones with long battery life.,Accessories,Boat,Red,Standard,Plastic,2098,4.6
152,Laptop Model 152,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,HP,Blue,14 inch,Glass,41081,4.9
153,Running Shoes Model 153,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Adidas,Red,7,Aluminum,4546,4.4
154,Running Shoes Model 154,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Adidas,Green,7,Plastic,7639,5.0
155,Wireless Headphones Model 155,Noise cancelling wireless headphones with long battery life.,Accessories,HP,White,Standard,Leather,12409,3.5
156,Laptop Model 156,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Dell,Black,15.6 inch,Aluminum,43536,4.1
157,Running Shoes Model 157,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,ASUS,Green,7,Synthetic,6455,4.3
158,Wireless Headphones Model 158,Noise cancelling wireless headphones with long battery life.,Accessories,HP,Gray,Standard,Aluminum,10104,3.5
159,Laptop Model 159,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Sony,Green,15.6 inch,Synthetic,66006,3.9
160,Laptop Model 160,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Puma,White,13 inch,Mesh,105053,4.2
161,Wireless Headphones Model 161,Noise cancelling wireless headphones with long battery life.,Accessories,HP,Gray,Standard,Synthetic,5061,4.0
162,Running Shoes Model 162,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Boat,Black,11,Synthetic,4602,4.3
163,Wireless Headphones Model 163,Noise cancelling wireless headphones with long battery life.,Accessories,ASUS,Black,Standard,Mesh,14774,3.7
164,Running Shoes Model 164,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Apple,Green,11,Aluminum,6995,4.2
165,Laptop Model 165,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Samsung,White,15.6 inch,Glass,113689,4.0
166,Laptop Model 166,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Sony,Black,15.6 inch,Synthetic,73209,3.5
167,Running Shoes Model 167,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Apple,Red,11,Plastic,3711,3.7
168,Wireless Headphones Model 168,Noise cancelling wireless headphones with long battery life.,Accessories,ASUS,Red,Standard,Leather,8601,4.8
169,Laptop Model 169,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Apple,Black,14 inch,Mesh,85576,4.1
170,Laptop Model 170,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Sony,Blue,15.6 inch,Glass,103070,4.8
171,Laptop Model 171,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,HP,Blue,15.6 inch,Synthetic,62452,3.6
172,Wireless Headphones Model 172,Noise cancelling wireless headphones with long battery life.,Accessories,Samsung,Black,Standard,Leather,7445,4.5
173,Wireless Headphones Model 173,Noise cancelling wireless headphones with long battery life.,Accessories,Dell,Blue,Standard,Glass,12401,4.3
174,Laptop Model 174,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,ASUS,Green,13 inch,Synthetic,102261,4.1
175,Running Shoes Model 175,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Puma,Green,10,Leather,5399,4.4
176,Wireless Headphones Model 176,Noise cancelling wireless headphones with long battery life.,Accessories,Boat,Green,Standard,Plastic,10285,4.2
177,Laptop Model 177,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Puma,Black,13 inch,Aluminum,43804,4.5
178,Laptop Model 178,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Boat,Red,15.6 inch,Synthetic,60042,3.8
179,Running Shoes Model 179,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Adidas,Black,11,Leather,2813,4.7
180,Laptop Model 180,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,HP,Green,14 inch,Leather,33327,4.7
181,Laptop Model 181,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Boat,Gray,15.6 inch,Glass,51606,5.0
182,Laptop Model 182,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Samsung,Green,13 inch,Leather,67653,4.2
183,Wireless Headphones Model 183,Noise cancelling wireless headphones with long battery life.,Accessories,Puma,Black,Standard,Plastic,2906,3.5
184,Laptop Model 184,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Boat,White,13 inch,Synthetic,30493,4.0
185,Laptop Model 185,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Puma,Blue,13 inch,Mesh,98734,3.8
186,Wireless Headphones Model 186,Noise cancelling wireless headphones with long battery life.,Accessories,Dell,Blue,Standard,Aluminum,12475,4.9
187,Wireless Headphones Model 187,Noise cancelling wireless headphones with long battery life.,Accessories,Sony,Black,Standard,Mesh,11026,3.6
188,Running Shoes Model 188,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Boat,Green,7,Aluminum,2741,3.6
189,Laptop Model 189,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,HP,Black,15.6 inch,Leather,57341,4.4
190,Wireless Headphones Model 190,Noise cancelling wireless headphones with long battery life.,Accessories,Puma,Blue,Standard,Glass,9816,4.7
191,Wireless Headphones Model 191,Noise cancelling wireless headphones with long battery life.,Accessories,Samsung,Green,Standard,Mesh,13927,4.1
192,Wireless Headphones Model 192,Noise cancelling wireless headphones with long battery life.,Accessories,Samsung,Red,Standard,Leather,2014,3.8
193,Running Shoes Model 193,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Samsung,Green,8,Plastic,5279,4.9
194,Laptop Model 194,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Sony,Black,13 inch,Mesh,57375,4.5
195,Running Shoes Model 195,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Nike,Green,6,Plastic,4432,4.1
196,Wireless Headphones Model 196,Noise cancelling wireless headphones with long battery life.,Accessories,Apple,Green,Standard,Glass,3494,4.2
197,Wireless Headphones Model 197,Noise cancelling wireless headphones with long battery life.,Accessories,Dell,Gray,Standard,Plastic,7313,3.8
198,Running Shoes Model 198,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Apple,White,7,Synthetic,7423,4.7
199,Wireless Headphones Model 199,Noise cancelling wireless headphones with long battery life.,Accessories,Nike,Gray,Standard,Leather,4628,5.0
200,Running Shoes Model 200,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Apple,Gray,7,Leather,7837,4.7
201,Running Shoes Model 201,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Dell,Black,7,Synthetic,5445,4.6
202,Wireless Headphones Model 202,Noise cancelling wireless headphones with long battery life.,Accessories,Samsung,Black,Standard,Aluminum,8375,4.4
203,Running Shoes Model 203,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Samsung,Gray,8,Leather,7632,4.2
204,Running Shoes Model 204,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Samsung,Blue,7,Aluminum,2509,4.6
205,Laptop Model 205,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Nike,Blue,15.6 inch,Plastic,65468,4.8
206,Laptop Model 206,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Apple,Gray,15.6 inch,Mesh,76178,3.9
207,Running Shoes Model 207,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,HP,Black,8,Leather,6615,3.9
208,Wireless Headphones Model 208,Noise cancelling wireless headphones with long battery life.,Accessories,Adidas,Red,Standard,Mesh,8429,3.9
209,Laptop Model 209,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,Dell,Black,15.6 inch,Synthetic,115121,4.1
210,Running Shoes Model 210,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Nike,Blue,9,Aluminum,6076,4.1
211,Running Shoes Model 211,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,Nike,Gray,11,Glass,5862,4.6
212,Running Shoes Model 212,Comfortable lightweight running shoes suitable for daily use and flat feet.,Footwear,ASUS,Blue,9,Leather,5994,4.8
213,Laptop Model 213,"High performance laptop suitable for coding, gaming, and multitasking.",Electronics,ASUS,Gray,13 inch,Mesh,105635,3.6
